agent_id,generation_id,final_score
ad6bb348-a035-4d6f-8da2-b54146a43808,gen_0,385560.9295352011
38ec709d-3c0f-4930-84e6-d1d28cf9932e,gen_0,193551.95795686718
8428be53-8d31-4706-982f-8016a41b91d5,gen_0,192766.73953694064
4ec11c00-b7de-4593-ac0b-032ec0822cce,gen_0,243542.99699967448
0bcfd692-1f32-4579-baf2-6b0c185be1a9,gen_0,292123.4009165161
ff037ec0-0028-45f5-afce-236f75c6ba11,gen_0,0,434936.2120975085
85d3e888-9f51-47a7-b26b-2b9f243ef98a,gen_0,0,466949.40351437504
ff225b76-7042-4827-b4a4-7fcba120e3c5,gen_0,0,289476.50486312836
9ed81f04-2e76-4dcb-8561-5f7dd0d40c46,gen_0,0,177806.8749348242
dc5b00ab-e396-4bf3-b77b-7baf50aedb05,gen_0,0,282700.8269512394
495c8247-317a-4eb1-aa7e-f2b3815695fc,gen_0,0,91932.8995042123
ac10558d-b5fd-4562-b1ad-9d4abed37068,gen_0,0,203741.38439357892
fc182014-a289-490b-966d-c7fa9ac58e3b,gen_0,0,308043.1469722825
da04617d-2b23-4a91-bdaa-74838a87bd96,gen_0,0,256251.83257827902
ccd22b3e-c324-41cd-9cce-5d3e1b609e22,gen_0,0,295494.58774888574
f2e898e9-0c1b-4bb8-a3b9-a376cf5d737b,gen_0,0,208894.107225039
58c9a5ba-ea22-4454-8410-c993b742c607,gen_0,0,223503.83388389202
4364ccb7-9e14-4493-8de3-e0f9da93e831,gen_1,0,309061.5132312286
a4da6053-7a74-4831-8f4c-ba60c09aada0,gen_1,0,225791.76682688392
15e06974-89aa-48d6-80d1-18bf6d10cf53,gen_0,0,278329.1682682127
189a1748-ff54-4c47-977a-0f886ae21edb,gen_0,0,299061.7398411168
c91d6b44-825c-4b89-b86b-62df63209281,gen_41e51198-5539-4e6f-be81-c49ae108a023_0,0,220117.34165227922
59dfac03-09f1-4216-862e-34e75f97cb46,gen_41e51198-5539-4e6f-be81-c49ae108a023_0,0,191690.4578637347
e0a66e73-a795-438e-ab54-a59591faf1c4,gen_41e51198-5539-4e6f-be81-c49ae108a023_0,0,236016.15158112088
77169e41-90c6-467f-ad77-461a47156b06,gen_41e51198-5539-4e6f-be81-c49ae108a023_1,0,110094.75263198512
ecc5e8d7-bf65-4e06-9622-8651741ad7b0,gen_41e51198-5539-4e6f-be81-c49ae108a023_1,0,222599.58762945395
d5be1f7f-ae01-490d-828f-3c90ad5ddda7,gen_41e51198-5539-4e6f-be81-c49ae108a023_1,0,270520.81265923026
2344bef0-3149-4176-b1c7-942b3d3758fb,gen_41e51198-5539-4e6f-be81-c49ae108a023_2,0,191284.97573385364
e5a75cae-b654-41a6-bd79-ce21c1b14e4c,gen_41e51198-5539-4e6f-be81-c49ae108a023_2,0,180687.03230295485
9f752cba-b916-4a61-860a-061cdc64fd93,gen_41e51198-5539-4e6f-be81-c49ae108a023_2,0,63875.249808302426
ab58048e-6435-4a0e-88c0-0daad333b43c,gen_41e51198-5539-4e6f-be81-c49ae108a023_3,0,303029.2615008125
eb61ece6-d2cb-4d61-8d67-811b4ec05111,gen_41e51198-5539-4e6f-be81-c49ae108a023_3,0,196077.90075494634
bbb2a913-1235-4fd8-b312-b719de22d3f5,gen_41e51198-5539-4e6f-be81-c49ae108a023_3,0,85312.66769206227
8506aadf-32a2-4819-9472-83b43687114e,gen_41e51198-5539-4e6f-be81-c49ae108a023_4,0,357629.1155549425
391966b8-51a5-4a55-9aac-8db7c7113e85,gen_41e51198-5539-4e6f-be81-c49ae108a023_4,0,145660.41403693418
5a71447a-0014-479a-ab83-3f4246d33d28,gen_41e51198-5539-4e6f-be81-c49ae108a023_4,0,184737.02634667963
dee244ea-032d-4661-9b18-203e5f9fe42a,gen_41e51198-5539-4e6f-be81-c49ae108a023_5,0,215766.00901728345
4d3458af-1d81-4881-95df-8f00e54a18b9,gen_41e51198-5539-4e6f-be81-c49ae108a023_5,0,286323.9967223612
2d6dbe13-d47a-48ee-b245-177d1cd01bb0,gen_41e51198-5539-4e6f-be81-c49ae108a023_5,0,241819.72141424654
8e483f81-6915-4541-a7ab-1cb9d579b58d,gen_41e51198-5539-4e6f-be81-c49ae108a023_6,0,223596.12493726308
5d24dfe9-24d6-44a2-8d01-a6f039ffae3a,gen_41e51198-5539-4e6f-be81-c49ae108a023_6,0,286018.7835686679
d6670d30-c5bf-4adc-96fc-2bed01c97d47,gen_5ae187f3-953e-499b-a3c8-4c3e94c7dcb9_0,0,2742213.77730875
f940430a-0a1c-40cb-a294-47342591512a,gen_5ae187f3-953e-499b-a3c8-4c3e94c7dcb9_0,0,2272353.659929476
addb1ae0-addb-41c2-80de-410001bfc7a2,gen_5ae187f3-953e-499b-a3c8-4c3e94c7dcb9_0,0,657629.7327478474
de5aea11-1b28-4307-a12c-297d927b875e,gen_5ae187f3-953e-499b-a3c8-4c3e94c7dcb9_1,0,1063792.6217047558
